"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
107;1.383.043;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=43912 Ack=2773 Win=63720 Len=0;;;;"1,383043";;"1,383043";"1,516145";;"0,133102";;"0,133059";"4,3E-05";"-0,133016"
108;1.516.145;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516145";;"1,516145";"1,516188";;"4,3E-05";;-3E-06;"4,6E-05";"4,9E-05"
109;1.516.188;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516188";;"1,516188";"1,516234";;"4,6E-05";;"2,2E-05";"2,4E-05";2E-06
110;1.516.234;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516234";;"1,516234";"1,516258";;"2,4E-05";;6E-06;"1,8E-05";"1,2E-05"
111;1.516.258;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516258";;"1,516258";"1,516276";;"1,8E-05";;-1E-05;"2,8E-05";"3,8E-05"
112;1.516.276;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516276";;"1,516276";"1,516304";;"2,8E-05";;6E-06;"2,2E-05";"1,6E-05"
113;1.516.304;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516304";;"1,516304";"1,516326";;"2,2E-05";;8E-06;"1,4E-05";6E-06
114;1.516.326;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516326";;"1,516326";"1,51634";;"1,4E-05";;"-1,7E-05";"3,1E-05";"4,8E-05"
115;1.516.340;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,51634";;"1,51634";"1,516371";;"3,1E-05";;"1,4E-05";"1,7E-05";3E-06
116;1.516.371;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516371";;"1,516371";"1,516388";;"1,7E-05";;-1E-06;"1,8E-05";"1,9E-05"
117;1.516.388;"172,31,18,98";"103,107,186,26";"TLSv1,2";681;Application Data;;;;"1,516388";;"1,516388";"1,516406";;"1,8E-05";;"-2,22045E-16";"1,8E-05";"1,8E-05"
118;1.516.406;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516406";;"1,516406";"1,516424";;"1,8E-05";;-6E-06;"2,4E-05";3E-05
119;1.516.424;"172,31,18,98";"103,107,186,26";"TLSv1,2";1605;Application Data;;;;"1,516424";;"1,516424";"1,516448";;"2,4E-05";;"-0,24008";"0,240104";"0,480184"
120;1.516.448;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516448";;"1,516448";"1,756552";;"0,240104";;"0,240104";0;"-0,240104"
121;1.756.552;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=44018 Win=14207 Len=0;;;;"1,756552";;"1,756552";"1,756552";;0;;"-5,8E-05";"5,8E-05";"0,000116"
122;1.756.552;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=45670 Win=14230 Len=0;;;;"1,756552";;"1,756552";"1,75661";;"5,8E-05";;"3,2E-05";"2,6E-05";-6E-06
123;1.756.610;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=47322 Win=14253 Len=0;;;;"1,75661";;"1,75661";"1,756636";;"2,6E-05";;-4E-06;3E-05;"3,4E-05"
124;1.756.636;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=48974 Win=14275 Len=0;;;;"1,756636";;"1,756636";"1,756666";;3E-05;;3E-06;"2,7E-05";"2,4E-05"
125;1.756.666;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=50626 Win=14298 Len=0;;;;"1,756666";;"1,756666";"1,756693";;"2,7E-05";;-4E-06;"3,1E-05";"3,5E-05"
126;1.756.693;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=52139 Win=14321 Len=0;;;;"1,756693";;"1,756693";"1,756724";;"3,1E-05";;7E-06;"2,4E-05";"1,7E-05"
127;1.756.724;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=53791 Win=14344 Len=0;;;;"1,756724";;"1,756724";"1,756748";;"2,4E-05";;"-1,6E-05";4E-05;"5,6E-05"
128;1.756.748;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=56070 Win=14367 Len=0;;;;"1,756748";;"1,756748";"1,756788";;4E-05;;"-9,8E-05";"0,000138";"0,000236"
129;1.756.788;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=57722 Win=14390 Len=0;;;;"1,756788";;"1,756788";"1,756926";;"0,000138";;"-0,129232";"0,12937";"0,258602"
130;1.756.926;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=57866 Win=14390 Len=0;;;;"1,756926";;"1,756926";"1,886296";;"0,12937";;"0,129326";"4,4E-05";"-0,129282"
